Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,PMR,2028,NSN,2024,Y,0,BEH,PMR,-40.320599,175.617004,NSN,-41.298302,173.220993,Palmerston North Airport,PMR,-40.320599,175.617004,PMR,NZ,yes,NSN,NZ,yes
NZ,345,PMR,2028,WLG,2042,Y,0,BEH,PMR,-40.320599,175.617004,WLG,-41.3272018433,174.804992676,Palmerston North Airport,PMR,-40.320599,175.617004,PMR,NZ,yes,WLG,NZ,yes
NZ,345,PPT,4075,AKL,2006,,0,343 763,PPT,-17.553699,-149.606995,AKL,-37.01199,174.786331,Faa'a International Airport,PPT,-17.553699,-149.606995,PPT,PF,yes,AKL,NZ,yes
NZ,345,PVG,3406,AKL,2006,,0,772 763,PVG,31.1434,121.805,AKL,-37.01199,174.786331,Shanghai Pudong International Airport,PVG,31.1434,121.805,PVG,CN,yes,AKL,NZ,yes
NZ,345,RAR,1959,AKL,2006,,0,763 320 772,RAR,-21.2027,-159.806,AKL,-37.01199,174.786331,Rarotonga International Airport,RAR,-21.2027,-159.806,RAR,CK,yes,AKL,NZ,yes
NZ,345,ROT,2031,AKL,2006,Y,0,BEH DH3,ROT,-38.1092,176.317001,AKL,-37.01199,174.786331,Rotorua Regional Airport,ROT,-38.1092,176.317001,ROT,NZ,yes,AKL,NZ,yes
NZ,345,ROT,2031,CHC,2009,Y,0,AT7,ROT,-38.1092,176.317001,CHC,-43.48939895629883,172.53199768066406,Rotorua Regional Airport,ROT,-38.1092,176.317001,ROT,NZ,yes,CHC,NZ,yes
NZ,345,ROT,2031,WLG,2042,Y,0,DH3,ROT,-38.1092,176.317001,WLG,-41.3272018433,174.804992676,Rotorua Regional Airport,ROT,-38.1092,176.317001,ROT,NZ,yes,WLG,NZ,yes
NZ,345,SFO,3469,AKL,2006,,0,772 744,SFO,37.619806,-122.374821,AKL,-37.01199,174.786331,San Francisco International Airport,SFO,37.619806,-122.374821,SFO,US,yes,AKL,NZ,yes
NZ,345,SYD,3361,AKL,2006,,0,763 320 772,SYD,-33.94609832763672,151.177001953125,AKL,-37.01199,174.786331,Sydney Kingsford Smith International Airport,SYD,-33.94609832763672,151.177001953125,SYD,AU,yes,AKL,NZ,yes
